date,season,datetype
11/01/1946,1946-1947,rs_start
03/18/1947,1946-1947,ps_start
04/22/1947,1946-1947,ps_end
10/31/1947,1947-1948,rs_start
03/09/1948,1947-1948,ps_start
04/17/1948,1947-1948,ps_end
10/29/1948,1948-1949,rs_start
03/12/1949,1948-1949,ps_start
04/10/1949,1948-1949,ps_end
10/29/1949,1949-1950,rs_start
03/14/1950,1949-1950,ps_start
04/25/1950,1949-1950,ps_end
10/31/1950,1950-1951,rs_start
03/13/1951,1950-1951,ps_start
04/21/1951,1950-1951,ps_end
10/30/1951,1951-1952,rs_start
03/18/1952,1951-1952,ps_start
04/13/1952,1951-1952,ps_end
10/30/1952,1952-1953,rs_start
03/17/1953,1952-1953,ps_start
04/11/1953,1952-1953,ps_end
10/30/1953,1953-1954,rs_start
03/16/1954,1953-1954,ps_start
04/06/1954,1953-1954,ps_end
10/29/1954,1954-1955,rs_start
03/15/1955,1954-1955,ps_start
04/09/1955,1954-1955,ps_end
10/27/1955,1955-1956,rs_start
03/20/1956,1955-1956,ps_start
04/08/1956,1955-1956,ps_end
10/23/1956,1956-1957,rs_start
03/15/1957,1956-1957,ps_start
04/13/1957,1956-1957,ps_end
10/22/1957,1957-1958,rs_start
03/14/1958,1957-1958,ps_start
04/13/1958,1957-1958,ps_end
10/24/1958,1958-1959,rs_start
03/14/1959,1958-1959,ps_start
04/11/1959,1958-1959,ps_end
10/23/1959,1959-1960,rs_start
03/15/1960,1959-1960,ps_start
04/09/1960,1959-1960,ps_end
10/19/1960,1960-1961,rs_start
03/14/1961,1960-1961,ps_start
04/12/1961,1960-1961,ps_end
10/17/1961,1961-1962,rs_start
03/16/1962,1961-1962,ps_start
04/18/1962,1961-1962,ps_end
10/16/1962,1962-1963,rs_start
03/19/1963,1962-1963,ps_start
04/09/1963,1962-1963,ps_end
10/15/1963,1963-1964,rs_start
03/17/1964,1963-1964,ps_start
04/18/1964,1963-1964,ps_end
10/16/1964,1964-1965,rs_start
03/15/1965,1964-1965,ps_start
04/18/1965,1964-1965,ps_end
10/18/1965,1965-1966,rs_start
03/15/1966,1965-1966,ps_start
04/30/1966,1965-1966,ps_end
10/15/1966,1966-1967,rs_start
03/14/1967,1966-1967,ps_start
04/25/1967,1966-1967,ps_end
10/17/1967,1967-1968,rs_start
03/14/1968,1967-1968,ps_start
04/06/1968,1967-1968,ps_end
10/15/1968,1968-1969,rs_start
03/14/1969,1968-1969,ps_start
04/24/1969,1968-1969,ps_end
10/14/1969,1969-1970,rs_start
03/19/1970,1969-1970,ps_start
04/24/1970,1969-1970,ps_end
10/13/1970,1970-1971,rs_start
03/26/1971,1970-1971,ps_start
05/05/1971,1970-1971,ps_end
10/12/1971,1971-1972,rs_start
03/24/1972,1971-1972,ps_start
05/10/1972,1971-1972,ps_end
10/11/1972,1972-1973,rs_start
04/05/1973,1972-1973,ps_start
05/10/1973,1972-1973,ps_end
10/09/1973,1973-1974,rs_start
04/05/1974,1973-1974,ps_start
05/12/1974,1973-1974,ps_end
10/08/1974,1974-1975,rs_start
04/04/1975,1974-1975,ps_start
05/18/1975,1974-1975,ps_end
10/10/1975,1975-1976,rs_start
04/05/1976,1975-1976,ps_start
05/16/1976,1975-1976,ps_end
10/22/1976,1976-1977,rs_start
04/05/1977,1976-1977,ps_start
06/05/1977,1976-1977,ps_end
10/21/1977,1977-1978,rs_start
04/05/1978,1977-1978,ps_start
05/28/1978,1977-1978,ps_end
10/13/1978,1978-1979,rs_start
04/05/1979,1978-1979,ps_start
05/27/1979,1978-1979,ps_end
10/12/1979,1979-1980,rs_start
04/05/1980,1979-1980,ps_start
05/16/1980,1979-1980,ps_end
10/10/1980,1980-1981,rs_start
04/10/1981,1980-1981,ps_start
06/05/1981,1980-1981,ps_end
10/30/1981,1981-1982,rs_start
04/17/1982,1981-1982,ps_start
06/09/1982,1981-1982,ps_end
10/29/1982,1982-1983,rs_start
04/19/1983,1982-1983,ps_start
06/12/1983,1982-1983,ps_end
10/28/1983,1983-1984,rs_start
04/17/1984,1983-1984,ps_start
06/12/1984,1983-1984,ps_end
10/26/1984,1984-1985,rs_start
04/18/1985,1984-1985,ps_start
06/08/1985,1984-1985,ps_end
10/25/1985,1985-1986,rs_start
04/17/1986,1985-1986,ps_start
06/08/1986,1985-1986,ps_end
10/31/1986,1986-1987,rs_start
04/23/1987,1986-1987,ps_start
06/14/1987,1986-1987,ps_end
10/23/1987,1987-1988,rs_start
04/21/1988,1987-1988,ps_start
06/21/1988,1987-1988,ps_end
11/04/1988,1988-1989,rs_start
04/28/1989,1988-1989,ps_start
06/14/1989,1988-1989,ps_end
11/03/1989,1989-1990,rs_start
04/26/1990,1989-1990,ps_start
06/14/1990,1989-1990,ps_end
11/02/1990,1990-1991,rs_start
04/25/1991,1990-1991,ps_start
06/12/1991,1990-1991,ps_end
11/01/1991,1991-1992,rs_start
04/23/1992,1991-1992,ps_start
06/14/1992,1991-1992,ps_end
11/06/1992,1992-1993,rs_start
04/23/1993,1992-1993,ps_start
06/20/1993,1992-1993,ps_end
11/06/1993,1993-1994,rs_start
04/28/1994,1993-1994,ps_start
06/22/1994,1993-1994,ps_end
11/04/1994,1994-1995,rs_start
04/28/1995,1994-1995,ps_start
06/14/1995,1994-1995,ps_end
11/03/1995,1995-1996,rs_start
04/26/1996,1995-1996,ps_start
06/16/1996,1995-1996,ps_end
10/31/1996,1996-1997,rs_start
04/24/1997,1996-1997,ps_start
06/13/1997,1996-1997,ps_end
10/31/1997,1997-1998,rs_start
04/23/1998,1997-1998,ps_start
06/14/1998,1997-1998,ps_end
02/05/1999,1998-1999,rs_start
04/29/1999,1998-1999,ps_start
06/25/1999,1998-1999,ps_end
02/04/2000,1999-2000,rs_start
04/22/2000,1999-2000,ps_start
06/19/2000,1999-2000,ps_end
10/31/2000,2000-2001,rs_start
04/21/2001,2000-2001,ps_start
06/15/2001,2000-2001,ps_end
10/30/2001,2001-2002,rs_start
04/20/2002,2001-2002,ps_start
06/12/2002,2001-2002,ps_end
10/29/2002,2002-2003,rs_start
04/19/2003,2002-2003,ps_start
06/15/2003,2002-2003,ps_end
10/28/2003,2003-2004,rs_start
04/17/2004,2003-2004,ps_start
06/15/2004,2003-2004,ps_end
11/02/2004,2004-2005,rs_start
04/23/2005,2004-2005,ps_start
06/23/2005,2004-2005,ps_end
11/01/2005,2005-2006,rs_start
04/22/2006,2005-2006,ps_start
06/20/2006,2005-2006,ps_end
10/31/2006,2006-2007,rs_start
04/21/2007,2006-2007,ps_start
06/14/2007,2006-2007,ps_end
10/30/2007,2007-2008,rs_start
04/19/2008,2007-2008,ps_start
06/17/2008,2007-2008,ps_end
10/28/2008,2008-2009,rs_start
04/18/2009,2008-2009,ps_start
06/14/2009,2008-2009,ps_end
10/27/2009,2009-2010,rs_start
04/17/2010,2009-2010,ps_start
06/17/2010,2009-2010,ps_end
10/26/2010,2010-2011,rs_start
04/16/2011,2010-2011,ps_start
06/12/2011,2010-2011,ps_end
12/25/2011,2011-2012,rs_start
04/28/2012,2011-2012,ps_start
06/21/2012,2011-2012,ps_end
10/30/2012,2012-2013,rs_start
04/20/2013,2012-2013,ps_start
06/20/2013,2012-2013,ps_end
10/29/2013,2013-2014,rs_start
04/19/2014,2013-2014,ps_start
06/15/2014,2013-2014,ps_end
10/28/2014,2014-2015,rs_start
04/18/2015,2014-2015,ps_start
06/16/2015,2014-2015,ps_end
10/27/2015,2015-2016,rs_start
04/16/2016,2015-2016,ps_start
06/19/2016,2015-2016,ps_end
10/25/2016,2016-2017,rs_start
04/15/2017,2016-2017,ps_start
06/12/2017,2016-2017,ps_end
10/17/2017,2017-2018,rs_start
04/14/2018,2017-2018,ps_start
06/08/2018,2017-2018,ps_end
10/16/2018,2018-2019,rs_start
04/13/2019,2018-2019,ps_start
06/13/2019,2018-2019,ps_end
10/22/2019,2019-2020,rs_start
08/17/2020,2019-2020,ps_start
10/11/2020,2019-2020,ps_end
12/22/2020,2020-2021,rs_start
05/22/2021,2020-2021,ps_start
07/20/2021,2020-2021,ps_end
10/19/2021,2021-2022,rs_start
04/16/2022,2021-2022,ps_start
06/19/2022,2021-2022,ps_end
10/18/2022,2022-2023,rs_start
04/15/2023,2022-2023,ps_start
06/18/2023,2022-2023,ps_end
10/17/2023,2023-2024,rs_start
04/13/2024,2023-2024,ps_start
06/16/2024,2023-2024,ps_end
