index,SHOT_ZONE_RANGE,SHOT_DISTANCE,FGA,FGM
606,16-24 ft.,16,554,232
607,16-24 ft.,17,571,225
608,16-24 ft.,18,535,206
609,16-24 ft.,19,468,188
610,16-24 ft.,20,336,120
611,16-24 ft.,21,215,100
612,16-24 ft.,22,87,27
613,16-24 ft.,23,17,4
614,24+ ft.,22,221,85
615,24+ ft.,23,520,196
616,24+ ft.,24,1014,373
617,24+ ft.,25,788,271
618,24+ ft.,26,318,103
619,24+ ft.,27,101,27
620,24+ ft.,28,20,8
621,24+ ft.,29,7,3
622,24+ ft.,30,2,1
623,24+ ft.,31,5,1
624,24+ ft.,32,3,0
625,24+ ft.,33,6,0
626,24+ ft.,34,3,1
627,24+ ft.,35,4,1
628,24+ ft.,36,4,0
629,24+ ft.,37,2,0
630,24+ ft.,38,1,0
631,24+ ft.,39,4,0
632,24+ ft.,40,2,0
633,24+ ft.,41,3,0
634,24+ ft.,42,3,0
635,8-16 ft.,8,303,109
636,8-16 ft.,9,279,105
637,8-16 ft.,10,221,95
638,8-16 ft.,11,224,87
639,8-16 ft.,12,273,117
640,8-16 ft.,13,301,109
641,8-16 ft.,14,353,136
642,8-16 ft.,15,492,216
643,8-16 ft.,16,2,2
644,Back Court Shot,40,3,0
645,Back Court Shot,41,2,0
646,Back Court Shot,43,1,0
647,Back Court Shot,45,1,0
648,Back Court Shot,47,1,0
649,Back Court Shot,49,2,1
650,Back Court Shot,50,1,0
651,Back Court Shot,51,1,0
652,Back Court Shot,52,2,0
653,Back Court Shot,54,1,0
654,Back Court Shot,59,4,0
655,Back Court Shot,60,1,0
656,Back Court Shot,63,2,0
657,Back Court Shot,64,1,0
658,Back Court Shot,67,2,0
659,Back Court Shot,69,1,0
660,Back Court Shot,71,1,0
661,Back Court Shot,72,1,0
662,Back Court Shot,74,2,0
663,Back Court Shot,77,1,0
664,Less Than 8 ft.,0,3634,2290
665,Less Than 8 ft.,1,371,237
666,Less Than 8 ft.,2,157,77
667,Less Than 8 ft.,3,153,74
668,Less Than 8 ft.,4,241,118
669,Less Than 8 ft.,5,301,123
670,Less Than 8 ft.,6,278,110
671,Less Than 8 ft.,7,342,144
672,Less Than 8 ft.,8,1,0
